Season,Week,Team,Day,Date,Win,OT,Home,Opp,Off_Pts,Def_Pts,G,Spread,Total,Point_Diff,Spread_Covered,Actual_vs_Expected
2014,17,DET,Sun,December 28,0,0,0,GNB,20,30,16,7.0,46.5,-10,0,3.5
2014,1,GNB,Thu,September 4,0,0,0,SEA,16,36,1,8.5,45.0,-20,0,7.0
2014,2,GNB,Sun,September 14,1,0,1,NYJ,31,24,2,-7.5,46.0,7,0,9.0
2014,3,GNB,Sun,September 21,0,0,0,DET,7,19,3,2.5,52.5,-12,0,-26.5
2014,4,GNB,Sun,September 28,1,0,0,CHI,38,17,4,-1.5,51.5,21,1,3.5
2014,5,GNB,Thu,October 2,1,0,1,MIN,42,10,5,-7.5,47.5,32,1,4.5
2014,6,GNB,Sun,October 12,1,0,0,MIA,27,24,6,-1.5,47.0,3,1,4.0
2014,7,GNB,Sun,October 19,1,0,1,CAR,38,17,7,-6.5,49.0,21,1,6.0
2014,8,GNB,Sun,October 26,0,0,0,NOR,23,44,8,2.0,55.0,-21,0,12.0
2014,10,GNB,Sun,November 9,1,0,1,CHI,55,14,9,-9.5,54.0,41,1,15.0
2014,11,GNB,Sun,November 16,1,0,1,PHI,53,20,10,-5.5,55.0,33,1,18.0
2014,12,GNB,Sun,November 23,1,0,0,MIN,24,21,11,-7.5,50.0,3,0,-5.0
2014,13,GNB,Sun,November 30,1,0,1,NWE,26,21,12,-3.0,58.0,5,1,-11.0
2014,14,GNB,Mon,December 8,1,0,1,ATL,43,37,13,-13.5,54.5,6,0,25.5
2014,15,GNB,Sun,December 14,0,0,0,BUF,13,21,14,-4.0,50.0,-8,0,-16.0
2014,16,GNB,Sun,December 21,1,0,0,TAM,20,3,15,-12.0,49.0,17,1,-26.0
2014,17,GNB,Sun,December 28,1,0,1,DET,30,20,16,-7.0,46.5,10,1,3.5
2014,1,HTX,Sun,September 7,1,0,1,WAS,17,6,1,-3.0,45.0,11,1,-22.0
2014,2,HTX,Sun,September 14,1,0,0,RAI,30,14,2,-3.0,40.0,16,1,4.0
2014,3,HTX,Sun,September 21,0,0,0,NYG,17,30,3,1.5,41.5,-13,0,5.5
2014,4,HTX,Sun,September 28,1,0,1,BUF,23,17,4,-3.0,42.5,6,1,-2.5
2014,5,HTX,Sun,October 5,0,1,0,DAL,17,20,5,6.5,47.0,-3,1,-10.0
2014,6,HTX,Thu,October 9,0,0,1,CLT,28,33,6,2.5,46.5,-5,0,14.5
2014,7,HTX,Mon,October 20,0,0,0,PIT,23,30,7,3.0,44.5,-7,0,8.5
2014,8,HTX,Sun,October 26,1,0,0,OTI,30,16,8,-3.5,43.0,14,1,3.0
2014,9,HTX,Sun,November 2,0,0,1,PHI,21,31,9,2.0,48.5,-10,0,3.5
2014,11,HTX,Sun,November 16,1,0,0,CLE,23,7,10,3.5,41.0,16,1,-11.0
2014,12,HTX,Sun,November 23,0,0,1,CIN,13,22,11,-2.5,44.5,-9,0,-9.5
2014,13,HTX,Sun,November 30,1,0,1,OTI,45,21,12,-7.0,43.0,24,1,23.0
2014,14,HTX,Sun,December 7,1,0,0,JAX,27,13,13,-6.5,42.0,14,1,-2.0
2014,15,HTX,Sun,December 14,0,0,0,CLT,10,17,14,6.5,49.0,-7,0,-22.0
2014,16,HTX,Sun,December 21,1,0,1,RAV,25,13,15,6.5,42.0,12,1,-4.0
2014,17,HTX,Sun,December 28,1,0,1,JAX,23,17,16,-7.5,38.0,6,0,2.0
2014,1,CLT,Sun,September 7,0,0,0,DEN,24,31,1,7.5,55.0,-7,1,0.0
2014,2,CLT,Mon,September 15,0,0,1,PHI,27,30,2,-3.0,54.0,-3,0,3.0
2014,3,CLT,Sun,September 21,1,0,0,JAX,44,17,3,-7.0,45.0,27,1,16.0
2014,4,CLT,Sun,September 28,1,0,1,OTI,41,17,4,-7.5,46.0,24,1,12.0
2014,5,CLT,Sun,October 5,1,0,1,RAV,20,13,5,-3.0,49.0,7,1,-16.0
2014,6,CLT,Thu,October 9,1,0,0,HTX,33,28,6,-2.5,46.5,5,1,14.5
2014,7,CLT,Sun,October 19,1,0,1,CIN,27,0,7,-3.5,50.5,27,1,-23.5
2014,8,CLT,Sun,October 26,0,0,0,PIT,34,51,8,-4.5,48.5,-17,0,36.5
2014,9,CLT,Mon,November 3,1,0,0,NYG,40,24,9,-3.0,50.0,16,1,14.0
2014,11,CLT,Sun,November 16,0,0,1,NWE,20,42,10,-3.0,57.0,-22,0,5.0
2014,12,CLT,Sun,November 23,1,0,1,JAX,23,3,11,-13.5,49.0,20,1,-23.0
2014,13,CLT,Sun,November 30,1,0,1,WAS,49,27,12,-8.5,49.0,22,1,27.0
2014,14,CLT,Sun,December 7,1,0,0,CLE,25,24,13,-3.0,50.0,1,0,-1.0
2014,15,CLT,Sun,December 14,1,0,1,HTX,17,10,14,-6.5,49.0,7,1,-22.0
2014,16,CLT,Sun,December 21,0,0,0,DAL,7,42,15,3.0,54.0,-35,0,-5.0
2014,17,CLT,Sun,December 28,1,0,0,OTI,27,10,16,-7.5,46.5,17,1,-9.5
2014,1,JAX,Sun,September 7,0,0,0,PHI,17,34,1,10.5,52.0,-17,0,-1.0
2014,2,JAX,Sun,September 14,0,0,0,WAS,10,41,2,6.0,42.5,-31,0,8.5
2014,3,JAX,Sun,September 21,0,0,1,CLT,17,44,3,7.0,45.0,-27,0,16.0
2014,4,JAX,Sun,September 28,0,0,0,SDG,14,33,4,12.5,45.0,-19,0,2.0
